description,name
"We consider a problem motivated by the desire to provide flexible, rate-based, quality of service guarantees for packets sent over input queued switches and switch networks. Our focus is solving a type of online traffic scheduling problem, whose input at each time step is a set of desired traffic rates through the switch network. These traffic rates in general cannot be exactly achieved since they assume arbitrarily small fractions of packets can be transmitted at each time step. The goal of the traffic scheduling problem is to closely approximate the given sequence of traffic rates by a sequence of transmissions in which only whole packets are sent. We prove worst-case bounds on the additional buffer use, which we call backlog, that results from using such an approximation.We first consider the N × N, input queued, crossbar switch. Our main result is an online packet-scheduling algorithm using no speedup that guarantees backlog at most (N+1)2/4 packets at each input port and each output port. Upper bounds on worst-case backlog have been proved for the case of constant fluid schedules, such as the N2-2N+2 bound of Chang, Chen, and Huang (INFOCOM, 2000). Our main result for the crossbar switch is the first, to our knowledge, to bound backlog in terms of switch size N for arbitrary, time-varying fluid schedules, without using speedup.Our main result for Banyan networks is an exact characterization of the speedup required to maintain bounded backlog, in terms of polytopes derived from the network topology.",Approximating fluid schedules in crossbar packet-switches and Banyan networks
"The multi-stage, multi-machine capacitated lot-sizing problem (MSMMCLSP) consists of scheduling the production of one product in a multi-machine production system with a multi-stage structure. Machine capacity is reserved for the production of the end item but can be extended by working overtime (overtime capacity). When a lot size is positive in a specific period, it can be loaded on all machines without exceeding the sum of the regular and overtime capacity limits. In previous research [Rong, C., Takahashi, K., & Morikawa, K. (2005). A new heuristic method for capacitated lot-sizing in multi-stage, multi-machine production systems. Journal of Japan Industrial Management Association, 56(5), in press], we have proposed a rescheduling heuristic to determine a feasible and sufficient solution for the MSMMCLSP with only regular capacity limits, in comparison with Franca et al.'s heuristic method. However, the mechanism of rescheduling in regular time has not optimum (or near optimum) performance for the MSMMCLSP with capacity extension. Preliminary examination revealed that overtime production also has situation-dependent advantages and disadvantages with the combination of various planning parameters. This study, therefore, develops an integrated heuristic that guarantees an optimal solution for general MSMMCLSP by combining the rescheduling mechanism and overtime production. We also evaluate the effectiveness of the proposed heuristics by using computational tests with various planning parameters.",MRP Rescheduling heuristics with capacity extension under deterministic demand
"This paper focuses on the problem of how data representation influences the generalization error of kernel based learning machines like support vector machines (SVM) for classification. Frame theory provides a well founded mathematical framework for representing data in many different ways. We analyze the effects of sparse and dense data representations on the generalization error of such learning machines measured by using leave-one-out error given a finite amount of training data. We show that, in the case of sparse data representations, the generalization error of an SVM trained by using polynomial or Gaussian kernel functions is equal to the one of a linear SVM. This is equivalent to saying that the capacity of separating points of functions belonging to hypothesis spaces induced by polynomial or Gaussian kernel functions reduces to the capacity of a separating hyperplane in the input space. Moreover, we show that, in general, sparse data representations increase or leave unchanged the generalization error of kernel based methods. Dense data representations, on the contrary, reduce the generalization error in the case of very large frames. We use two different schemes for representing data in overcomplete systems of Haar and Gabor functions, and measure SVM generalization error on benchmarked data sets.",Data representations and generalization error in kernel based learning machines
"The hit-or-miss transform (HMT) is a fundamental operation on binary images, widely used since 40 years. As it is not increasing, its extension to grey-level images is not straightforward, and very few authors have considered it. Moreover, despite its potential usefulness, very few applications of the grey-level HMT have been proposed until now. Part I of this paper, developed hereafter, is devoted to the description of a theory leading to a unification of the main definitions of the grey-level HMT, mainly proposed by Ronse and Soille, respectively (part II will deal with the applicative potential of the grey-level HMT, which will be illustrated by its use for vessel segmentation from 3D angiographic data). In this first part, we review the previous approaches to the grey-level HMT, especially the supremal one of Ronse, and the integral one of Soille; the latter was defined only for flat structuring elements (SEs), but it can be generalized to non-flat ones. We present a unified theory of the grey-level HMT, which is decomposed into two steps. First a fitting associates to each point the set of grey-levels for which the SEs can be fitted to the image; as in Soille's approach, this fitting step can be constrained. Next, a valuation associates a final grey-level value to each point; we propose three valuations: supremal (as in Ronse), integral (as in Soille) and binary.",Grey-level hit-or-miss transforms-Part I: Unified theory
"Since their introduction as a means of front propagation and their first application to edge-based segmentation in the early 90's, level set methods have become increasingly popular as a general framework for image segmentation. In this paper, we present a survey of a specific class of region-based level set segmentation methods and clarify how they can all be derived from a common statistical framework.Region-based segmentation schemes aim at partitioning the image domain by progressively fitting statistical models to the intensity, color, texture or motion in each of a set of regions. In contrast to edge-based schemes such as the classical Snakes, region-based methods tend to be less sensitive to noise. For typical images, the respective cost functionals tend to have less local minima which makes them particularly well-suited for local optimization methods such as the level set method.We detail a general statistical formulation for level set segmentation. Subsequently, we clarify how the integration of various low level criteria leads to a set of cost functionals. We point out relations between the different segmentation schemes. In experimental results, we demonstrate how the level set function is driven to partition the image plane into domains of coherent color, texture, dynamic texture or motion. Moreover, the Bayesian formulation allows to introduce prior shape knowledge into the level set method. We briefly review a number of advances in this domain.","A Review of Statistical Approaches to Level Set Segmentation: Integrating Color, Texture, Motion and Shape"
"We address the pose mismatch problem which can occur in face verification systems that have only a single (frontal) face image available for training. In the framework of a Bayesian classifier based on mixtures of gaussians, the problem is tackled through extending each frontal face model with artificially synthesized models for non-frontal views. The synthesis methods are based on several implementations of maximum likelihood linear regression (MLLR), as well as standard multi-variate linear regression (LinReg). All synthesis techniques rely on prior information and learn how face models for the frontal view are related to face models for non-frontal views. The synthesis and extension approach is evaluated by applying it to two face verification systems: a holistic system (based on PCA-derived features) and a local feature system (based on DCT-derived features). Experiments on the FERET database suggest that for the holistic system, the LinReg-based technique is more suited than the MLLR-based techniques; for the local feature system, the results show that synthesis via a new MLLR implementation obtains better performance than synthesis based on traditional MLLR. The results further suggest that extending frontal models considerably reduces errors. It is also shown that the local feature system is less affected by view changes than the holistic system; this can be attributed to the parts based representation of the face, and, due to the classifier based on mixtures of gaussians, the lack of constraints on spatial relations between the face parts, allowing for deformations and movements of face areas.",On transforming statistical models for non-frontal face verification
"In this paper, we propose a convolution filtering scheme for detecting small defects in low-contrast uniform surface images and, especially, focus on the applications for backlight panels and glass substrates found in liquid crystal display (LCD) manufacturing. A defect embedded in a low-contrast surface image shows no distinct intensity from its surrounding region, and even worse, the sensed image may present uneven brightness on the surface. All these make the defect detection in low-contrast surface images extremely difficult. In this study, a constrained independent component analysis (ICA) model is proposed to design an optimal filter with the objective that the convolution filter will generate the most representative source intensity of the background surface without noise. The prior constraint incorporated in the ICA model confines the source values of all training image patches of a defect-free image within a small interval of control limits. In the inspection process, the same control parameter used in the constraint is also applied to set up the thresholds that make impulse responses of all pixels in faultless regions within the control limits, and those in defective regions outside the control limits. A stochastic evolutionary computation algorithm, particle swarm optimization (PSO), is applied to solve for the constrained ICA model. Experimental results have shown that the proposed method can effectively detect small defects in low-contrast backlight panels and LCD glass substrate images.",An independent component analysis-based filter design for defect detection in low-contrast surface images
"We present an efficient algorithm for approximating huge general volumetric data sets, i.e. the data is given over arbitrarily shaped volumes and consists of up to millions of samples. The method is based on cubic trivariate splines, i.e. piecewise polynomials of total degree three defined w.r.t, uniform type-6 tetrahedral partitions of the volumetric domain. Similar as in the recent bivariate approximation approaches (cf. [10, 15]), the splines in three variables are automatically determined from the discrete data as a result of a two-step method (see [40]), where local discrete least squares polynomial approximations of varying degrees are extended by using natural conditions, i.e. the continuity and smoothness properties which determine the underlying spline space. The main advantages of this approach with linear algorithmic complexity are as follows: no tetrahedral partition of the volume data is needed, only small linear systems have to be solved, the local variation and distribution of the data is automatically adapted, Bernstein-B&eacute;zier techniques well-known in Computer Aided Geometric Design (CAGD) can be fully exploited, noisy data are automatically smoothed. Our numerical examples with huge data sets for synthetic data as well as some real-world data confirm the efficiency of the methods, show the high quality of the spline approximation, and illustrate that the rendered iso-surfaces inherit a visual smooth appearance from the volume approximating splines.",Spline approximation of general volumetric data
"In this paper, we propose a novel variational method for color image segmentation using modified geodesic active contour method. Our goal is to detect Object(s) of Interest (OOI) from a given color image, regardless of other objects. The main novelty of our method is that we modify the stopping function in the functional of usual geodesic active contour method so that the new stopping function is coupled by a discrimination function of OOI. By minimizing the functional, the OOI is segmented. Firstly, we study the pixel properties of the OOI by sample pixels visually chosen from OOI. From these sample pixels, by the principal component analysis and interval estimation, the discrimination function of whether a pixel is in the OOI is obtained probabilistically. Then we propose the energy functional for the segmentation of OOI with new stopping function. Unlike usual stopping functions defined by the image gradient, our improved stopping function depends on not only the image gradient but also the discrimination function derived from the color information of OOI. As a result, better than usual active contour methods which detect all objects in the image, our modified active contour method can detect OOI but without unwanted objects. Experiments are conducted in both synthetic and natural images. The result shows that our algorithm is very efficient for detecting OOI even the background is complicated.",Color Image Segmentation for Objects of Interest with Modified Geodesic Active Contour Method
"Automatic creation of B-rep models of engineering objects from freehand sketches would benefit designers. A subgoal is to take a single line drawing (with hidden lines removed), and from it deduce an initial 3D geometric realisation of the visible part of the object. Junction and line labels, and provisional depth coordinates, are important components of this frontal geometry. Most methods for producing frontal geometry use line labelling, but this takes little or no account of geometry. As a result, the line labels produced can be unreliable.Previously, we proposed an approach which inflates a drawing to produce provisional depth coordinates, and uses these to make deductions about line labels. Even a na&iuml;ve implementation can outperform previous line labelling methods in certain cases. In this paper, we further enhance this approach. We extend the algorithm to non-isometric-projection drawings, consider improved ways of realising some of the concepts, and also consider how to combine this approach with other labelling techniques to gain the benefits of each.We test our approach using to be drawings of what we consider representative samples of engineering objects; these exemplify difficulties not considered in many previous papers on line labelling. Our results, based on this test set, show that the enhancements result in significant benefits.",Making the most of using depth reasoning to label line drawings of engineering objects
